n. noltei,z. marina,g. vermiculophylla,sedimento,arena,roca,algas verdes,algas pardas,algas rojas,microfitobentos,foto
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_191501.jpg
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_191354.jpg
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_191329.jpg
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_191305.jpg
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_191241.jpg
0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,77.8,RE_PHOTO_20250521_190410.jpg
0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,RE_PHOTO_20250521_190254.jpg
10.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185955.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185859.jpg
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185620.jpg
60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185521.jpg
60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185536.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185452.jpg
0.0,0.0,0.0,85.0,0.0,0.0,0.0,15.0,0.0,0.0,RE_PHOTO_20250521_185412.jpg
0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,25.0,0.0,RE_PHOTO_20250521_185327.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185333.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185304.jpg
0.0,0.0,0.0,95.0,0.0,0.0,5.0,0.0,0.0,0.0,RE_PHOTO_20250521_185227.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185206.jpg
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,RE_PHOTO_20250521_185140.jpg
0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,15.0,0.0,RE_PHOTO_20250521_185136.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_185056.jpg
0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,0.0,0.0,RE_PHOTO_20250521_185051.jpg
0.0,0.0,0.0,90.0,0.0,0.0,5.0,0.0,5.0,0.0,RE_PHOTO_20250521_184955.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_184944.jpg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,RE_PHOTO_20250521_184804.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_184828.jpg
0.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,RE_PHOTO_20250521_184737.jpg
0.0,0.0,0.0,0.0,25.0,0.0,75.0,0.0,0.0,0.0,RE_PHOTO_20250521_184652.jpg
0.0,0.0,0.0,15.0,0.0,0.0,0.0,85.0,0.0,0.0,RE_PHOTO_20250521_184636.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_184559.jpg
0.0,0.0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,RE_PHOTO_20250521_184556.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,RE_PHOTO_20250521_184528.jpg
