n. noltei,z. marina,g. vermiculophylla,sedimento,arena,roca,algas verdes,algas pardas,algas rojas,microfitobentos,foto
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_123543_PONTEVEDRA.jpg
65.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,20250729_124154_PONTEVEDRA.jpg
65.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,20250729_124306_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_124358_PONTEVEDRA.jpg
20.0,0.0,0.0,75.0,0.0,0.0,5.0,0.0,0.0,0.0,20250729_124529_PONTEVEDRA.jpg
50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_124553_PONTEVEDRA.jpg
0.0,40.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,20250729_125953_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_130020_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_130319_PONTEVEDRA.jpg
50.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,20250729_130528_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_132908_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_132944_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_133027_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_133108_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_133143_PONTEVEDRA.jpg
25.0,25.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,5.0,20250729_133810_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_134329_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_134606_PONTEVEDRA.jpg
75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,20250729_134739_PONTEVEDRA.jpg
5.0,0.0,0.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,20250729_134943_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140418_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140518_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140557_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140623_PONTEVEDRA.jpg
90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20250729_140941_PONTEVEDRA.jpg
95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20250729_141641_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_141743_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_141856_PONTEVEDRA.jpg
85.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_142201_PONTEVEDRA.jpg
95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20250729_142244_PONTEVEDRA.jpg
88.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,20250812_120756_AROUSA.jpg
0.0,50.0,10.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,20250812_121051_AROUSA.jpg
75.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20250812_123215_AROUSA.jpg
50.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,20250812_133414_AROUSA.jpg
92.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,20250812_133856_AROUSA.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_111452_PONTEVEDRA.jpg
0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,20250923_111720_PONTEVEDRA.jpg
80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_111943_PONTEVEDRA.jpg
40.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,5.0,20250923_112124_PONTEVEDRA.jpg
15.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,2.0,20250923_112300_PONTEVEDRA.jpg
50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_112403_PONTEVEDRA.jpg
80.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,20250923_112702_PONTEVEDRA.jpg
20.0,0.0,0.0,70.0,0.0,0.0,8.0,0.0,0.0,2.0,20250923_112932_PONTEVEDRA.jpg
